,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,배당률,ESG,E,S,G,평가연도,업종명,현금흐름(CF),PBR
한솔홈데코,266804784000.0,139.22,41.8,9.68,0.0,B이하,C,B이하,B이하,2012,종이목재,0.0591357223663957,0.66
한신공영,1502729284000.0,352.39,22.1,9.34,2.83,B이하,B,B+,B이하,2012,건설업,0.08225853940929742,0.255
한양증권,540985515000.0,101.37,49.66,17.73,8.0,B이하,B+,B+,B이하,2012,증권,0.001069690913094128,0.365
한올바이오파마,124274609000.0,57.97,63.3,-13.31,0.0,B이하,B,B이하,B이하,2012,의약품,0.028884490907575902,5.89
한익스프레스,77986093000.0,255.7,28.11,0.0,0.0,B이하,C,B이하,B이하,2012,운수창고업,-0.031151844636927363,1.23
한일철강,309469737000.0,90.2,52.58,-11.07,4.43,B이하,B,B이하,B이하,2012,철강금속,0.10230136003392566,0.2
한진,1858651008000.0,142.24,41.28,3.36,7.89,B이하,C,B이하,B+,2012,운수창고업,0.026386858033366264,0.33999999999999997
한진중공업홀딩스,2315289000000.0,80.11,55.52,7.89,4.2,B이하,B+,B이하,B이하,2012,서비스업,0.008338957288074905,0.23
한창,34879179000.0,62.88,61.39,0.0,0.0,B이하,C,B이하,B이하,2012,유통업,-0.115196542650452,0.96
한창제지,152931232000.0,213.89,31.86,0.42,0.0,B이하,B,B이하,B이하,2012,종이목재,0.030084959653522095,0.925
한화,15865391957000.0,195.98,33.79,-5.6,8.3,B이하,B,B이하,B+,2012,화학,0.585110790830533,1.01
한화손해보험,6396262164000.0,1516.84,6.18,18.93,0.0,B이하,B+,B이하,B이하,2012,보험,-0.016567898910496804,1.23
한화투자증권,6379655031000.0,571.47,14.89,-10.99,1.02,B이하,B,B이하,B이하,2012,증권,0.03696681627353096,0.585
현대건설,12746829000000.0,168.02,37.31,11.78,10.0,B+,B+,A,B+,2012,건설업,0.002111473017160981,1.8
현대글로비스,4257802897000.0,121.85,45.08,23.05,300.0,B이하,B,B+,B이하,2012,운수창고업,0.029437467760835567,4.62
현대모비스,30046996000000.0,76.34,56.71,17.09,36.97,B+,B+,A,B+,2012,운수장비,0.08423944913607023,2.1799999999999997
현대미포조선,7722829117000.0,127.63,43.93,-4.51,29.39,B이하,B,B이하,B+,2012,운수장비,-0.08600914237996299,0.855
현대백화점,5400075749000.0,66.85,59.94,5.62,12.8,B이하,B+,B+,B이하,2012,유통업,0.28407158571972196,1.505
현대비앤지스틸,623511528000.0,134.59,42.63,0.0,0.0,B이하,C,B이하,B이하,2012,철강금속,0.06392742673000155,0.78
현대위아,4573489077000.0,143.0,41.15,9.83,10.0,B이하,B,B이하,B이하,2012,운수장비,0.08473158539693713,2.575
현대제철,22951386707000.0,133.46,42.83,-7.29,9.88,A,B+,A,A,2012,철강금속,0.15249612915557922,0.8600000000000001
현대홈쇼핑,1306359201000.0,34.03,74.61,6.89,22.0,B이하,B,B+,B이하,2012,유통업,0.14870080050483755,1.5350000000000001
혜인,249947805000.0,138.69,41.9,1.81,8.82,B이하,B,B이하,B이하,2012,유통업,-0.18292697863447455,0.56
호텔신라,1547612290000.0,124.56,44.53,23.42,5.92,B이하,B,B이하,B이하,2012,유통업,0.06451399708095987,3.04
화성산업,397183609000.0,80.78,55.32,-12.73,1.83,B이하,B+,B이하,B이하,2012,건설업,0.15924887596389123,0.22999999999999998
화신,853595978000.0,132.94,42.93,9.11,19.89,B이하,C,B이하,B이하,2012,운수장비,0.03373310867201527,1.2
화천기계,175333825000.0,52.2,65.7,-12.52,18.0,B이하,B,B이하,B이하,2012,기계,0.06984812106056502,0.55
화천기공,306873292000.0,37.95,72.49,-4.63,20.0,B이하,B,B이하,B이하,2012,기계,0.07967002658891957,0.545
환인제약,181428238000.0,11.63,89.58,-2.57,39.35,B이하,B+,B이하,B이하,2012,의약품,0.19689339082597893,1.02
황금에스티,242003440000.0,48.26,67.45,-17.43,10.0,B이하,B,B이하,B이하,2012,철강금속,0.08502551693126224,0.405
효성,13763659509000.0,356.65,21.9,11.19,18.95,B+,B+,B이하,B+,2012,화학,0.03639043151489486,0.7
후성,321752560000.0,100.58,49.86,-8.14,0.0,B이하,B,B이하,B이하,2012,화학,0.2946955478065818,3.7600000000000002
휴스틸,556020140000.0,42.98,69.94,3.56,20.0,B이하,B,B이하,B+,2012,철강금속,0.021093636538441277,0.44999999999999996
흥아해운,533571353000.0,328.0,23.36,6.16,1.38,B이하,B,B이하,B이하,2012,운수창고업,0.03489632977608865,0.6
CS홀딩스,233929444000.0,14.78,87.12,41.38,0.0,B이하,C,B이하,B이하,2013,서비스업,0.14250791554038664,0.31
KISCO홀딩스,1377429174000.0,21.29,82.44,123.2,14.9,B이하,B,B이하,B이하,2013,서비스업,0.06383219273517046,0.31
LG이노텍,4581270749000.0,247.88,28.75,16.85,0.0,A,B+,A,A,2013,전기전자,0.07012356707695774,1.695
MH에탄올,129697936000.0,182.66,35.38,4.07,0.0,B이하,C,B이하,B이하,2013,음식료품,0.09035976222915003,0.515
OCI,7302290651000.0,123.09,44.83,-8.17,0.0,A,B+,A,A,2013,화학,0.009521170121793017,1.385
SH에너지화학,110488951000.0,58.75,62.99,19.57,2.98,B이하,C,B이하,B이하,2013,화학,0.025655069195190054,1.7399999999999998
SIMPAC,361985890000.0,73.34,57.69,-8.7,14.86,B이하,C,B이하,B이하,2013,기계,0.05861720707530029,0.96
SK이노베이션,35288869208000.0,108.62,47.93,-9.08,63.66,B+,B,A,A,2013,서비스업,0.02068384238862019,1.255
STX,1342520000000.0,0.0,0.0,-60.24,0.0,B+,B,B+,B+,2013,유통업,0.0533922375307269,0.0
STX엔진,1232540949000.0,0.0,0.0,-41.89,0.0,B+,B,B+,B+,2013,기계,-0.00785620609984614,0.0
STX중공업,1679370786000.0,1300.13,7.14,21.14,0.0,B이하,C,B+,B+,2013,기계,-0.42705609205676043,2.3
가온전선,539789322000.0,99.99,50.0,-10.79,18.88,B이하,B,B이하,B이하,2013,전기전자,0.021026755626613974,0.34
강원랜드,3102036846000.0,23.21,81.16,5.02,138.36,B+,B+,A,B+,2013,서비스업,0.3117691216702921,2.825
경농,255984725000.0,56.89,63.74,43.36,19.92,B이하,C,B이하,B+,2013,화학,0.0945376760821172,0.505
경동나비엔,354779867000.0,89.44,52.79,9.28,9.91,B이하,C,B이하,B이하,2013,전기전자,0.05049194818525683,1.31
경방,1296989142000.0,103.79,49.07,4.07,5.0,B이하,B,B이하,B이하,2013,섬유의복,0.14733729363099884,0.42000000000000004
경인양행,316944796000.0,67.04,59.87,19.31,9.62,B이하,B,B이하,B이하,2013,화학,0.004013708914283436,0.8699999999999999
경인전자,66000530000.0,13.81,87.87,5.4,6.11,B이하,B,B이하,B이하,2013,전기전자,0.043056491543475864,0.47000000000000003
계양전기,180806076000.0,21.2,82.51,5.44,10.04,B이하,B,B+,B이하,2013,기계,0.045803939042704814,0.6699999999999999
고려산업,148377505000.0,123.0,44.84,5.9,2.42,B이하,C,B이하,B이하,2013,음식료품,0.02215561608425153,1.675
고려아연,5120964733000.0,18.21,84.59,-12.37,93.66,B이하,B,B이하,B+,2013,철강금속,0.15128581460522578,1.54
고려제강,1823962847000.0,43.52,69.68,-3.4,34.99,B이하,C,B이하,B+,2013,철강금속,0.07869467914767866,0.525
광동제약,425675174000.0,46.37,68.32,40.81,5.49,B이하,B,B이하,B이하,2013,의약품,0.07343137142291307,1.3599999999999999
광명전기,120910764000.0,73.11,57.77,0.54,0.0,B이하,B,B이하,B이하,2013,전기전자,0.026553576688158106,1.965
광전자,269369303000.0,28.87,77.6,-3.42,0.0,B이하,B,B이하,B이하,2013,전기전자,0.0809810266403784,0.635
광주신세계,656355808000.0,60.6,62.27,-3.37,25.0,B이하,B,B+,B이하,2013,유통업,0.27751998332096484,1.045
교보증권,5203953103000.0,787.65,11.27,-61.3,0.96,B이하,B,B이하,B이하,2013,증권,-0.10853709867747084,0.325
국도화학,590442007000.0,62.77,61.43,8.39,20.0,B이하,B,B이하,B+,2013,화학,0.03513806533161505,0.8300000000000001
국동,73040609000.0,373.91,21.1,7.01,0.0,B이하,C,B이하,B이하,2013,유통업,-0.016269344696731733,1.665
국보,98315386000.0,230.27,30.28,-4.31,0.98,B이하,C,B이하,B이하,2013,운수창고업,0.02652220623596079,0.63
국제약품,117430860000.0,101.33,49.67,-4.98,3.72,B이하,C,B이하,B이하,2013,의약품,-0.03815244493009236,0.73
극동유화,195573225000.0,72.28,58.04,-8.15,16.0,B이하,B,B이하,B이하,2013,화학,0.03936335484119802,0.74
금강공업,675454670000.0,162.48,38.1,76.49,6.32,B이하,B,B이하,B이하,2013,철강금속,0.09912281092044696,0.43
금양,147115126000.0,222.94,30.97,27.17,7.69,B이하,B,B이하,B이하,2013,화학,-0.1081665954893363,1.025
금호전기,532674472000.0,186.48,34.91,1.82,1.73,B이하,C,B이하,B이하,2013,전기전자,-0.054304789258205775,1.085
금호타이어,4733932566000.0,315.91,24.04,-9.14,0.0,B이하,B,B이하,B+,2013,화학,0.12803148692774632,1.42
깨끗한나라,447017293000.0,150.63,39.9,2.22,0.0,B이하,B,B이하,B+,2013,종이목재,0.03781157522002894,0.97
남선알미늄,237576875000.0,235.43,29.81,14.53,0.0,B이하,C,B이하,B이하,2013,철강금속,0.04458333580353633,0.8799999999999999
남성,200078722000.0,155.9,39.08,7.43,2.05,B이하,C,B이하,B이하,2013,유통업,0.22419967363149568,0.375
남양유업,975490562000.0,18.03,84.73,-9.9,19.28,B이하,B,B이하,B+,2013,음식료품,-0.045058811003996606,1.07
남해화학,504051964000.0,42.27,70.29,-5.26,3.71,B이하,C,B이하,B+,2013,화학,0.0533922482190407,1.04
넥센,787194782000.0,32.67,75.38,33.21,10.03,B이하,B,B이하,B이하,2013,서비스업,0.06228748333866216,1.08
넥센타이어,2299812618000.0,188.56,34.66,1.62,12.38,B이하,B,B이하,B+,2013,화학,0.12093879049508582,1.975
노루페인트,528887786000.0,129.31,43.61,3.54,40.02,B이하,C,B이하,B+,2013,화학,0.03634515867463191,0.505
노루홀딩스,852424599000.0,111.81,47.21,4.71,49.05,B이하,B,B이하,B이하,2013,서비스업,0.07818605314090954,0.93
녹십자,1104264801000.0,31.55,76.02,9.41,24.74,B이하,C,B이하,B이하,2013,의약품,0.03342776150509067,1.99
녹십자홀딩스,1624124363000.0,47.69,67.71,9.54,42.91,B이하,B,B이하,B이하,2013,서비스업,0.018723583170412613,1.335
농심,2215391017000.0,46.07,68.46,-4.09,76.05,B이하,B,B이하,B+,2013,음식료품,0.07774247468100899,1.225
농심홀딩스,1027316750000.0,41.12,70.86,13.63,40.0,B이하,B,B이하,B이하,2013,서비스업,-0.016106725422623196,0.66
다우기술,4849467515000.0,312.32,24.25,-0.91,25.07,B이하,C,B이하,B이하,2013,서비스업,0.2856479930621058,1.67
대교,842291284000.0,30.28,76.76,-3.44,17.89,B이하,A,B이하,B이하,2013,서비스업,0.13198733437873525,1.24
대구백화점,499634654000.0,25.1,79.93,-6.83,6.67,B이하,B,B이하,B이하,2013,유통업,0.11822425342350915,0.39
대림통상,254173374000.0,93.11,51.78,-1.73,13.9,B이하,C,B이하,B이하,2013,기계,0.024891541879845887,0.44
대상,1738880015000.0,143.89,41.0,2.53,15.04,B이하,C,B이하,B+,2013,음식료품,0.07082084787582635,1.9500000000000002
대상홀딩스,2089472920000.0,133.15,42.89,761.39,12.02,B이하,C,B이하,B이하,2013,서비스업,0.06993555771842892,0.8400000000000001
대성산업,2268734317000.0,412.19,19.52,-0.81,0.0,B이하,B,B이하,B이하,2013,유통업,-0.08372362411940908,0.495
대성에너지,652990816000.0,138.03,42.01,4.05,25.0,B이하,B,B이하,B이하,2013,전기가스업,0.03766998786695605,0.585
대성홀딩스,1139214524000.0,129.88,43.5,7.58,25.0,B이하,B,B이하,B이하,2013,서비스업,0.04405857594312487,0.595
대신증권,11884635134000.0,609.77,14.09,-39.45,8.9,B이하,A,B이하,B이하,2013,증권,-0.013170111180766348,0.525
대양금속,101489299000.0,413.63,19.47,8.11,0.0,B이하,D,B이하,B이하,2013,철강금속,0.061997811404805474,3.05
대영포장,204157019000.0,70.16,58.77,-4.52,0.0,B이하,C,B이하,B이하,2013,종이목재,0.058806685043647215,0.77
대우건설,10122312287000.0,281.46,26.22,6.79,0.0,A,B+,A,A,2013,건설업,-0.057554346746203244,1.395
대우조선해양,16776397603000.0,472.82,17.46,7.69,0.0,B+,B+,B+,B+,2013,운수장비,-0.0821339421646996,2.09
대웅,898471403000.0,30.77,76.47,162.9,14.66,B이하,C,B이하,B이하,2013,서비스업,0.10220843241532825,1.28
대웅제약,579012972000.0,32.21,75.64,2.02,28.5,B이하,B,B이하,B이하,2013,의약품,0.07935005850539344,1.955
대원강업,1168191180000.0,140.28,41.62,1.02,24.0,B이하,B,B이하,B이하,2013,운수장비,0.05011724923775416,1.375
대원전선,222652611000.0,199.44,33.4,6.74,0.0,B이하,C,B이하,B이하,2013,전기전자,0.0437284920951899,0.885
대원제약,160139939000.0,29.93,76.96,14.99,14.85,B이하,B,B이하,B이하,2013,의약품,0.07754638291306118,1.53
대원화성,109226542000.0,203.47,32.95,-10.26,0.0,B이하,C,B이하,B이하,2013,화학,-0.02314420336294712,1.62
대유에이텍,438652143000.0,323.6,23.61,9.82,6.0,B이하,C,B이하,B이하,2013,운수장비,0.0321170691283188,1.425
대창,657836001000.0,254.78,28.19,-3.38,0.0,B이하,C,B이하,B+,2013,철강금속,-0.024311766962039662,0.635
대창단조,155109304000.0,29.37,77.3,-17.27,20.0,B이하,B,B이하,B이하,2013,운수장비,0.09727764601621598,0.905
대한방직,255211371000.0,254.75,28.19,3.76,0.0,B이하,B,B이하,B이하,2013,섬유의복,-0.07364550044581386,0.24
대한유화,1354531211000.0,71.54,58.29,-5.61,15.06,B이하,C,B이하,B이하,2013,화학,0.03799317529159732,0.55
대한전선,2254974431000.0,731.71,12.02,-0.65,0.0,B이하,C,B이하,B+,2013,전기전자,0.011261828599625292,1.255
대한제강,810646282000.0,116.31,46.23,-0.66,9.18,B이하,B,B이하,B+,2013,철강금속,-0.004058628052654337,0.46
대한제당,1570047610000.0,253.63,28.28,-8.2,17.99,B이하,B,B이하,B이하,2013,음식료품,0.0760678204478522,0.61
대한제분,897265128000.0,47.73,67.69,-2.84,38.88,B이하,B,B이하,B이하,2013,음식료품,0.06962989293887988,0.42
대한항공,22920438008000.0,736.45,11.96,-6.85,0.0,A,B+,A,A,2013,운수창고업,0.16451961683574437,1.3399999999999999
대한화섬,503634565000.0,26.51,79.04,-37.25,12.69,B이하,C,B이하,B이하,2013,화학,-0.09584960859592166,0.21
대현,216232675000.0,101.17,49.71,13.09,3.79,B이하,B,B이하,B이하,2013,섬유의복,0.013853465143970624,0.87
대호에이엘,126628810000.0,277.25,26.51,-7.92,0.0,B이하,C,B이하,B이하,2013,철강금속,0.07480203778330065,1.8699999999999999
더존비즈온,193373325000.0,113.13,46.92,3.75,27.52,B이하,C,B이하,B이하,2013,서비스업,0.24475532040384373,5.005
덕성,102990690000.0,64.16,60.92,6.43,8.24,B이하,B,B이하,B이하,2013,화학,0.004568182280805732,1.095
덕양산업,228092729000.0,308.41,24.49,-7.69,77.03,B이하,C,B이하,B이하,2013,운수장비,0.006714637456664588,1.31
도화엔지니어링,337616482000.0,54.38,64.77,-4.43,19.75,B이하,B+,B이하,B이하,2013,서비스업,0.07201252233037544,1.375
동국제강,9109804819000.0,247.84,28.75,-14.99,2.16,B+,B+,B이하,B+,2013,철강금속,0.014945470125672348,0.345
동남합성,56641902000.0,14.77,87.13,-2.26,3.2,B이하,C,B이하,B이하,2013,화학,0.003044226281388733,0.9849999999999999
동방,656235281000.0,394.48,20.22,2.58,2.49,B이하,B,B이하,B이하,2013,운수창고업,0.04788300937369897,0.655
동방아그로,153398804000.0,33.66,74.82,3.6,34.08,B이하,B,B이하,B이하,2013,화학,0.16946613751949494,0.8400000000000001
동부건설,2512178395000.0,617.54,13.94,-19.6,0.0,B이하,B,B이하,B이하,2013,건설업,0.06831786457529085,0.655
동성제약,127090352000.0,106.72,48.37,-11.12,2.52,B이하,C,B이하,B이하,2013,의약품,-0.03415373861440949,1.79
동아쏘시오홀딩스,988279723000.0,92.05,52.07,-48.38,20.0,B이하,B+,B이하,B이하,2013,의약품,0.06268147265241197,2.505
동아지질,225300799000.0,69.56,58.98,16.44,34.39,B이하,B,B이하,B이하,2013,건설업,-0.006280264254184736,0.885
동양,1124605701000.0,0.0,0.0,-66.79,0.0,B이하,B,B이하,B이하,2013,비금속광물,0.34444125043721713,0.0
동양고속,214756370000.0,86.71,53.56,10.09,20.0,B이하,B,B이하,B이하,2013,운수창고업,0.14475944955673398,0.5800000000000001
동양철관,216710572000.0,117.85,45.9,-13.18,0.0,B이하,C,B이하,B이하,2013,철강금속,0.07678336363314274,1.395
동원산업,1277961029000.0,102.33,49.42,-6.47,60.0,B이하,B,B이하,B이하,2013,"농업, 임업 및 어업",0.07541580375162729,1.97
동원수산,121455189000.0,176.16,36.21,-0.95,0.0,B이하,C,B이하,B이하,2013,"농업, 임업 및 어업",-0.05829068979840103,1.4100000000000001
동원시스템즈,541854230000.0,163.46,37.96,31.37,0.0,B이하,C,B이하,B이하,2013,화학,0.07948043158893774,4.3950000000000005
동일산업,360063581000.0,17.46,85.13,-13.4,14.2,B이하,B,B이하,B이하,2013,철강금속,0.08154379143591643,0.44
동화약품,316165541000.0,39.14,71.87,-1.4,7.0,B이하,B,B이하,B이하,2013,의약품,0.037255215121010286,0.76
두산,31166041855000.0,244.07,29.06,472.18,47.4,A+,A+,A,A+,2013,서비스업,0.017475940192003422,1.9
디씨엠,161652082000.0,16.57,85.78,-19.91,33.42,B이하,B,B이하,B이하,2013,철강금속,0.23274242174617102,1.05
디아이,184476587000.0,61.87,61.78,13.84,0.0,B이하,C,B이하,B이하,2013,의료정밀,0.23071890114435423,2.785
디아이씨,553613090000.0,226.31,30.65,-0.25,10.0,B이하,B,B이하,B이하,2013,운수장비,0.09027902096684166,0.71
락앤락,796956602000.0,29.53,77.2,-1.32,19.7,B이하,B+,B이하,B이하,2013,화학,0.06497819367115873,2.5700000000000003
롯데손해보험,4464043505000.0,1458.35,6.42,11.52,0.0,B이하,B+,B+,B이하,2013,보험,0.14966931095322428,0.8200000000000001
롯데쇼핑,38972565738000.0,130.26,43.43,12.65,28.15,B+,B+,B+,A,2013,유통업,0.047167144141088364,0.79
롯데케미칼,10687663571000.0,69.79,58.89,3.37,19.66,A,B+,A,A,2013,화학,0.02185670684055965,1.045
롯데하이마트,2755424265000.0,72.75,57.89,9.25,5.0,B+,A,B+,B이하,2013,유통업,0.04303561913723378,1.1600000000000001
마니커,291282318000.0,257.74,27.95,-2.28,0.0,B이하,D,B이하,B이하,2013,음식료품,0.037354517129868856,0.63
메리츠금융지주,799131922000.0,35.37,73.87,137.22,10.66,B이하,B+,B이하,B이하,2013,기타금융,-0.07047099371897164,0.675
명문제약,192410404000.0,162.86,38.04,3.17,6.18,B이하,B,B이하,B이하,2013,의약품,0.01931609910616284,0.675
모나리자,69499188000.0,27.61,78.37,-2.21,0.0,B이하,C,B이하,B+,2013,종이목재,0.10790021213463066,2.315
모나미,173422869000.0,215.83,31.66,-36.17,5.0,B이하,C,B이하,B이하,2013,유통업,0.11267624454681598,1.02
모토닉,456090969000.0,16.97,85.5,-9.24,34.5,B이하,B,B이하,B이하,2013,운수장비,0.12240823857025207,1.115
무림페이퍼,2279635167000.0,243.6,29.1,5.39,1.0,B이하,C,B이하,B+,2013,종이목재,0.03622130371909373,0.36
무학,441322084000.0,27.4,78.49,10.06,1.85,B이하,B,B이하,B이하,2013,음식료품,0.28076588307376965,1.315
문배철강,119792029000.0,42.84,70.01,-6.24,9.47,B이하,C,B이하,B이하,2013,철강금속,0.02745857158395411,0.445
미래산업,75968359000.0,148.59,40.23,3.03,0.0,B이하,B,B이하,B이하,2013,의료정밀,0.018912261338145674,8.48
미래에셋증권,25041237000000.0,522.91,16.05,6.52,2.36,B+,B+,B+,B이하,2013,증권,-0.7373072848322768,1.025
미원상사,226444664000.0,66.43,60.08,28.98,0.0,B이하,B,B이하,B이하,2013,화학,0.14039988386002328,1.35
미원화학,82110790000.0,33.71,74.79,18.93,0.0,B이하,C,B이하,B이하,2013,화학,0.09858310474224241,1.145
백광산업,502627238000.0,207.91,32.48,-4.92,0.0,B이하,C,B이하,B+,2013,화학,-0.042736754091575374,0.88
백산,152570048000.0,59.85,62.56,-4.4,13.83,B이하,B,B이하,B이하,2013,화학,0.035592117644745465,1.68
벽산,398397733000.0,75.27,57.06,25.26,9.67,B이하,C,B이하,B이하,2013,비금속광물,0.08509331541042109,0.9199999999999999
보락,49687810000.0,26.59,79.0,-2.08,2.0,B이하,B,B이하,B이하,2013,화학,0.06479363224536289,0.97
